File,Yake,TextRank,SingleRank,TopicRank,PositionRank,MultipartiteRank
Business Proposal.md,"['social media marketing', 'media marketing services', 'social media', 'strong', 'media marketing', 'business proposal', 'social media platforms', 'marketing services', 'marketing services tailored', 'media']","['visual content', '# # # company', 'influencer collaboration campaign', 'content', 'influencer collaboration services', 'influencer collaboration services</strong>\\r\\n\\r\\n', 'media marketing services', 'media marketing services</strong>\\r\\n\\r\\n', 'influencer marketing', '# # # #']","['comprehensive social media marketing services', 'social media marketing services', 'social media marketing services</strong>\\r\\n\\r\\n', 'influencer collaboration services', 'strong', 'social media strategy', 'social media platforms', 'influencer collaboration services</strong>\\r\\n\\r\\n', 'influencer marketing collaborations', 'influencer collaboration campaign']","['strong', 'visual content', 'brand presence', 'influencer collaboration services', 'comprehensive social media marketing services', 'engagement', 'influencers', 'services', 'business proposal', 'team']","['# company name', 'social media strategy', 'social media platforms', 'social media', 'influencer collaboration services', '# category', 'influencer collaboration services</strong>\\r\\n\\r\\n', 'influencer marketing collaborations', 'strategic content creation', 'specialized content creation']","['strong', 'brand presence', 'engagement', 'visual content', 'comprehensive social media marketing services', 'influencer collaboration services', 'influencers', 'brands', 'team', 'services']"
Marketing Plan.md,"['social media marketing', 'media marketing trends', 'media marketing campaigns', 'influencer marketing trends', 'media marketing strategies', 'content marketing trends', 'leveraging influencer content', 'marketing strategies based', 'utilize influencer collaborations', 'regular performance tracking']","['marketing objectives:</strong>\\r\\n- increase brand', 'influencer content', 'media marketing services</strong>\\r\\n\\r\\n <', 'content marketing', 'performance metrics:</strong>\\r\\n- key performance', '# # # # <', 'influencer collaboration services</strong>\\r\\n\\r\\n <', 'influencer marketing', 'media marketing campaigns', 'business document\\r\\n # # # document']","['current social media marketing trends', 'social media marketing campaigns', 'social media marketing services</strong>\\r\\n\\r\\n', 'social media marketing services.\\r\\n\\r\\n', 'social media marketing strategies', 'marketing objectives:</strong>\\r\\n- establish authentic brand partnerships', 'content marketing trends', 'marketing objectives:</strong>\\r\\n- increase brand awareness', 'social media campaigns.\\r\\n- drive customer engagement', 'client businesses.\\r\\n\\r\\n < strong']","['strong', 'relevant influencers', 'brand advocacy', 'marketing plan', 'compelling content', 'potential clients', 'engagement rates', 'advertising campaigns', 'analysis', 'current social media marketing trends']","['# company name', '# document title', 'content marketing trends', 'influencer marketing trends', '# category', 'social media platforms.\\r\\n\\r\\n', 'social media platforms.\\r\\n-', 'marketing plan', 'marketing plan\\r\\n\\r\\n---\\r\\n\\r\\n', 'influencer content']","['strong', 'relevant influencers', 'marketing plan', 'brand advocacy', 'compelling content', 'key target industries', 'influencer', 'potential clients', 'current social media marketing trends', 'advertising campaigns']"
Progress Report.md,"['direct messaging update', 'explore algorithm enhancement', 'analyze user behavior', 'develop content guidelines', 'user feedback analysis', 'user adoption rate', 'implement new features', 'enhanced encryption features', 'added new interactive', 'conduct bug fixes']","['| user feedback', '| user adoption', '| content moderation', 'recommendations | data', 'progress |', 'feedback |', 'metrics |', '| financial', '|', 'instagram progress report\\r\\n\\r\\n| project']","['video duration limit | content moderation policies | develop content guidelines', '| resource allocation | financial updates', 'new interactive elements | user feedback', '| user feedback analysis', '|\\r\\n| explore algorithm enhancement |', '|\\r\\n| direct messaging update |', 'personalized recommendations | data analysis', '| analyze user behavior', '| user adoption rate', 'progress | performance improvements']","['developers', 'designers', 'hold', 'encryption', 'security team', 'layout', 'feed redesign', 'data analysts']","['progress |', '| integration issues', 'moderation tools |', '| status', 'feedback |', '| achievements', 'engagement metrics |', '| action', 'solutions |', '| collaborate']","['developers', 'designers', 'hold', 'encryption', 'security team', 'layout', 'feed redesign', 'data analysts']"
About Instagram.md,"['instagram', 'strong', 'users', 'platform', 'community', 'mike krieger', 'kevin systrom', 'features', 'stories', 'features like stories']","['visual content', 'social media platform', 'user experience', 'community', 'achievements include:\\r\\n\\r\\n-', 'values include:\\r\\n\\r\\n-', 'campaigns\\r\\n\\r\\n <', 'user-friendly experience', 'social media', 'focus</strong>\\r\\n\\r\\nour users']","['advocacy campaigns\\r\\n\\r\\n < strong', 'instagram community today', 'popular social media platform', 'instagram\\r\\n\\r\\n < strong', 'customer focus</strong>\\r\\n\\r\\nour users', 'active users', 'strong', 'users', 'inspiring platform', 'vibrant community']","['users', 'instagram', 'platform', 'features', 'strong', 'vibrant community', 'stories', 'individuals', 'user feedback', 'igtv']","['instagram community today', 'social media platform\\x97it', 'social media', 'customer focus</strong>\\r\\n\\r\\nour users', 'instagram\\r\\n\\r\\n <', 'active users', 'inspiring platform', 'users', 'advocacy campaigns\\r\\n\\r\\n <', 'platform']","['users', 'instagram', 'platform', 'features', 'strong', 'vibrant community', 'stories', 'individuals', 'user feedback', 'authenticity']"
Board of Directors.md,"['instagram', 'board', 'chief marketing officer', 'highly experienced professionals', 'chief executive officer', 'chief financial officer', 'instagram consists', 'directors', 'chief marketing', 'marketing officer']","['brand awareness.\\r\\n\\r\\n # # contributions', 'chief financial officer', '# # board', 'chief marketing officer', '# board', 'financial expertise', 'social media platforms', 'financial', 'content moderation', '# #']","['# board composition\\r\\n\\r\\nthe board', 'popular social media platforms globally.\\r\\n\\r\\nthe board', '# board', 'chief marketing officer <', 'instagram', 'chief financial officer', 'chief marketing officer', 'achievements\\r\\n\\r\\nthe board', 'board members', 'directors\\r\\n\\r\\nthe board']","['instagram', 'board members', 'directors', 'strong', 'strategic guidance', 'success', 'financial planning', 'growth', 'pivotal role', 'company']","['# board', 'directors\\r\\n\\r\\nthe board', 'board members', 'achievements\\r\\n\\r\\nthe board', 'board', 'instagram', 'chief financial officer', 'chief marketing officer', '# contributions', '# contact']","['instagram', 'board members', 'directors', 'company', 'strong', 'success', 'growth', 'strategic guidance', 'chief executive officer', 'board']"
"Diversity, Equity, and Inclusion.md","['diverse', 'strong', 'equity', 'dei', 'instagram', 'diversity', 'inclusive', 'culture', 'actively', 'employee resource']","['diverse content', 'diverse candidate', 'diverse user', 'diverse', 'unbiased hiring processes', 'ongoing training', 'dei efforts.\\r\\n\\r\\n3', 'systemic racism', 'unconscious bias', 'share experiences']","['< strong', 'diverse content creators', 'diverse candidate pools', 'diverse user base', 'diverse perspectives', 'diverse content:</strong', 'diverse hiring:</strong', 'diverse workforce:</strong', 'diverse workforce', 'strong']","['inclusive workplace', 'diverse', 'committed', 'equity', 'broader community', 'strong', 'employees', 'dei', 'culture', 'users']","['# diversity', 'diverse content creators', 'diverse candidate pools', 'diverse perspectives', 'diverse user base', 'diverse content:</strong', 'diversity', 'diverse hiring:</strong', 'diverse workforce:</strong', 'equity']","['inclusive workplace', 'diverse', 'equity', 'committed', 'inclusion', 'broader community', 'employees', 'dei', 'strong', 'culture']"
Shareholders.md,"['instagram', 'facebook', 'page provides information', 'page provides', 'company', 'major', 'ownership', 'strong', 'shareholders', 'provides information']","['# # major', '# # ownership', '# # shareholdings\\r\\n\\r\\nthe exact', 'significant ownership', 'major shareholders', 'technology company', '# shareholders\\r\\n\\r\\nthis', 'parent company', 'major', 'financial']","['# major shareholders\\r\\n\\r\\nthe major shareholders', 'global technology company', 'instagram', '# ownership structure\\r\\n\\r\\ninstagram', 'significant ownership stake', '# shareholdings\\r\\n\\r\\nthe exact shareholdings', 'parent company', 'facebook inc.', 'private company', '# shareholders\\r\\n\\r\\nthis page']","['instagram', 'private company', 'individuals', 'entities', 'shares', 'shareholders', 'strong', 'support', 'significant ownership stake', 'success']","['# ownership structure\\r\\n\\r\\ninstagram', '# shareholders\\r\\n\\r\\nthis page', 'major shareholders', 'instagram', 'significant ownership stake', '# shareholdings\\r\\n\\r\\nthe', 'global technology company', 'parent company', 'facebook inc.', 'individual shareholders']","['instagram', 'private company', 'entities', 'individuals', 'shares', 'company', 'shareholders', 'ownership structure', 'information', 'support']"
Balance Sheet.md,"['non-current assets', 'current assets', 'total assets', 'intangible assets', 'non-current liabilities', 'total liabilities', 'accounts payable', 'short-term loans', 'long-term loans', 'bonds payable']","['|\\r\\n| non-current assets |', '|\\r\\n| non-current liabilities |', '|\\r\\n| current assets', '|\\r\\n| total assets', '|\\r\\n| total liabilities', '|\\r\\n| liabilities', '|\\r\\n| current', '|\\r\\n|', 'assets', '|']","['|\\r\\n| non-current assets |', '|\\r\\n| non-current liabilities |', '|\\r\\n| total assets', '|\\r\\n| current assets', '|\\r\\n| total liabilities', '|\\r\\n| short-term loans', '|\\r\\n| current liabilities|', '|\\r\\n| liabilities', '|\\r\\n| bonds payable', '|\\r\\n| retained earnings']","['december', 'strong', 'category', 'intangible assets', 'plant', 'payable', 'long-term loans', 'shareholders']","['|\\r\\n| current assets', '|\\r\\n| total assets', '|\\r\\n| total liabilities', '| amount', '|\\r\\n| current liabilities|', '|\\r\\n| short-term loans', '|\\r\\n| liabilities', '|\\r\\n| bonds payable', 'equipment |', '|\\r\\n| prepaid expenses']","['december', 'strong', 'category', 'intangible assets', 'plant', 'payable', 'long-term loans', 'shareholders']"
Income Statement.md,"['operating income', 'income taxes', 'net income', 'operating expenses', 'goods sold', 'gross profit', 'non-operating items', 'income', 'operating', 'taxes']","['|\\r\\n| operating income', '|\\r\\n| income', '|\\r\\n| operating', 'income', '|\\r\\n|', 'items |', 'company name:</strong', '|', '<', 'xyz']","['|\\r\\n| non-operating items |', '|\\r\\n| operating income', '|\\r\\n| income taxes', '|\\r\\n| net income', '# income statement\\r\\n\\r\\n < strong', '|\\r\\n| income', '|\\r\\n| operating expenses', '|\\r\\n| gross profit', '| amount', '|\\r\\n| cost']","['december', 'category', 'strong', 'goods', 'taxes']","['|\\r\\n| operating income', '|\\r\\n| income taxes', '|\\r\\n| net income', '|\\r\\n| income', '|\\r\\n| operating expenses', '|\\r\\n| gross profit', '| amount', '|\\r\\n| cost', '|', 'xyz corporation\\r\\n\\r\\n']","['december', 'category', 'strong', 'goods', 'taxes']"
Tax Return.md,"['employment income', 'investment income', 'taxable income', 'total income', 'tax rate', 'tax owed', 'tax refund', 'business expenses', 'medical expenses', 'total deductions']","['|\\r\\n| tax', '|\\r\\n| total', '|\\r\\n|', 'total income', 'tax', '| amount', 'year ended:</strong', 'income', '<', '|']","['|\\r\\n| employment income', '|\\r\\n| taxable income', '|\\r\\n| investment income', '|\\r\\n| other income', '|\\r\\n| tax owed', '|\\r\\n| tax rate', '|\\r\\n| tax refund', '|\\r\\n| total deductions', '|\\r\\n| medical expenses', '|\\r\\n| business expenses']","['category', 'december']","['|\\r\\n| tax owed', '|\\r\\n| tax rate', '|\\r\\n| employment income', '|\\r\\n| investment income', '|\\r\\n| taxable income', '|\\r\\n| other income', '|\\r\\n| tax refund', '|\\r\\n| total deductions', '|\\r\\n| medical expenses', '|\\r\\n| business expenses']","['december', 'category']"
